"","B2Bcontrolrep1","B2Bcontrolrep2","B2BNicotine125rep1","B2BNicotine125rep2","B2BNicotine250rep1","B2BNicotine250rep2","Hcontrolrep1","Hcontrolrep2","Hcontrol125rep1","Hcontrol125rep2","Hcontrol250rep1","Hcontrol250rep2"
"ENSG00000162585",1432,2173,1869,2086,1819,3006,1457,1952,2595,1953,2879,3420
"ENSG00000234396",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000157933",1943,3134,2639,2693,2589,4343,2691,3424,4715,3229,4475,5239
"ENSG00000287356",53,89,68,81,53,113,105,118,162,140,230,316
"ENSG00000116151",167,270,177,195,229,322,130,176,288,175,292,411
"ENSG00000272161",0,0,0,1,2,0,0,2,1,0,1,2
"ENSG00000269896",38,69,41,53,58,74,49,63,97,66,96,109
"ENSG00000272420",3,14,2,2,4,4,1,5,6,3,6,8
"ENSG00000157916",3156,5916,4683,4954,4465,7919,3703,4671,6469,5087,6871,8158
"ENSG00000157911",554,975,749,837,730,1076,561,794,985,800,1011,1223
"ENSG00000149527",0,3,1,2,1,0,0,0,2,7,8,7
"ENSG00000224387",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229393",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881",873,1435,1069,1144,1013,1716,917,1163,1482,1119,1773,1939
"ENSG00000197921",0,0,0,0,0,4,0,0,0,0,0,0
"ENSG00000272449",8,11,7,9,12,19,7,18,24,20,23,35
"ENSG00000238164",0,0,1,0,1,2,0,2,1,2,7,2
"ENSG00000157873",119,158,160,132,137,291,134,201,285,252,421,495
"ENSG00000225931",0,0,0,0,0,0,0,1,0,0,0,1
"ENSG00000228037",0,0,0,0,0,2,1,0,0,0,0,0
"ENSG00000157870",540,944,932,956,854,1552,689,877,1215,1001,1733,2144
"ENSG00000142606",0,0,0,0,1,1,1,1,3,0,1,1
"ENSG00000237058",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912",8,8,4,6,3,12,1,5,20,12,17,23
"ENSG00000285945",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287396",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133",0,0,0,0,0,0,0,0,0,0,4,1
"ENSG00000142611",0,0,0,0,1,1,1,6,3,10,15,23
"ENSG00000283572",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279839",0,0,1,0,0,1,0,0,0,0,1,0
"ENSG00000272235",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287828",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286518",1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130762",141,195,158,164,214,351,292,397,629,391,770,1024
"ENSG00000272088",0,0,0,0,1,0,0,0,1,3,1,2
"ENSG00000162591",137,238,216,241,223,405,875,1092,1910,1218,3084,3692
"ENSG00000207776",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260",1,3,2,3,2,3,0,0,1,2,0,0
"ENSG00000158109",891,1663,1257,1334,1163,2014,842,1237,1603,1183,1777,2059
"ENSG00000116213",906,1527,1116,1183,1110,2100,943,1187,1698,1203,2087,2448
"ENSG00000078900",347,556,484,461,542,842,600,730,1127,722,1462,1749
"ENSG00000227589",0,0,0,0,0,2,0,2,0,0,0,0
"ENSG00000235131",0,1,0,1,0,0,0,0,0,0,1,1
"ENSG00000227372",693,1170,919,785,846,1814,1048,1336,1973,1182,2057,2145
"ENSG00000276189",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592",0,0,0,1,0,0,0,1,1,2,3,0
"ENSG00000235169",18,38,15,19,19,46,25,23,34,39,55,105
"ENSG00000130764",1419,2267,1718,1932,1779,2896,1753,2308,3205,2226,3031,3704
"ENSG00000266075",0,0,0,3,3,0,0,1,4,0,2,2
"ENSG00000272153",9,15,13,13,11,17,3,12,24,9,27,29
"ENSG00000116198",1119,1742,1437,1312,1272,2209,1102,1424,1811,1402,1862,2105
"ENSG00000169598",188,338,211,215,222,367,183,285,362,232,377,341
"ENSG00000198912",641,1017,799,812,624,1284,672,885,1140,828,1334,1561
"ENSG00000236423",15,15,8,15,20,19,22,30,36,34,29,48
"ENSG00000233304",0,0,0,0,0,0,0,0,4,1,0,0
"ENSG00000226374",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284668",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284703",0,5,1,0,2,4,1,2,7,1,2,4
"ENSG00000229280",0,1,0,0,0,0,1,0,1,0,0,2
"ENSG00000235054",0,0,0,0,0,0,0,0,3,0,1,1
"ENSG00000284694",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287586",0,1,1,2,1,4,1,2,1,0,4,5
"ENSG00000284739",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510",1,0,0,0,0,1,1,1,0,1,1,0
"ENSG00000284616",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284666",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101",1,1,1,1,1,0,0,0,1,0,3,0
"ENSG00000131697",583,816,674,666,676,1321,485,659,961,685,1134,1241
"ENSG00000069424",209,361,358,434,520,855,768,994,1502,1011,2280,2808
"ENSG00000116254",11,8,7,16,16,17,32,42,47,31,56,72
"ENSG00000285629",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000116251",6949,12778,9664,9627,7755,13898,5822,7342,9653,7580,10624,13273
"ENSG00000226944",0,3,1,1,2,2,3,2,2,4,4,1
"ENSG00000158286",85,155,116,154,138,288,123,151,261,149,315,389
"ENSG00000116237",5606,9950,7643,7969,7569,12948,5511,7150,9454,6932,10889,13244
"ENSG00000225077",10,11,12,14,22,30,9,13,24,14,34,26
"ENSG00000173673",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292",422,761,628,689,866,1335,551,662,1031,747,1472,1877
"ENSG00000097021",4078,7260,5731,6248,5403,9123,5201,6743,9053,6409,8963,10693
"ENSG00000271746",1,2,1,3,7,6,6,4,5,2,4,11
"ENSG00000069812",6,16,11,26,13,33,10,6,8,10,16,20
"ENSG00000187017",2,4,1,0,6,5,2,8,7,4,7,11
"ENSG00000265392",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000215788",31,48,56,25,54,109,42,44,94,43,143,154
"ENSG00000171680",185,238,210,208,232,505,190,262,321,246,487,587
"ENSG00000162408",555,878,666,700,621,1205,679,905,1310,881,1117,1119
"ENSG00000253022",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229519",5,3,6,4,2,1,4,2,5,3,4,2
"ENSG00000173662",1,0,0,0,1,5,0,0,1,0,0,1
"ENSG00000204859",385,649,495,516,463,861,343,509,735,508,828,1014
"ENSG00000162413",1045,1638,1376,1509,1342,2216,1349,1842,2457,1674,2253,2806
"ENSG00000116273",1841,2966,2402,2523,2489,4016,2212,2555,3677,2753,4041,5089
"ENSG00000041988",541,1027,763,796,645,1144,524,688,965,742,1003,1148
"ENSG00000007923",1456,2469,2158,2058,1742,3029,1790,2298,3054,2227,2808,3028
"ENSG00000228750",0,0,0,0,1,1,0,1,0,0,0,2
"ENSG00000284744",0,2,1,1,1,0,0,0,0,1,1,1
"ENSG00000237436",9,6,7,3,7,9,2,7,9,12,2,8
"ENSG00000171735",1222,2389,1763,1836,1614,2801,1446,1775,2298,1785,2831,3345
"ENSG00000227950",0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000237365",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237402",3,0,2,0,2,0,0,0,0,0,0,2
"ENSG00000237728",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000225126",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000270171",0,0,0,1,1,0,2,3,4,1,0,2
"ENSG00000270035",0,3,2,0,0,1,1,1,4,0,0,0
"ENSG00000269978",0,0,0,0,0,1,0,1,0,0,1,4
"ENSG00000049245",4048,7566,5526,5460,4518,8420,5431,7095,8958,7327,9332,10438
"ENSG00000269925",14,15,16,8,14,25,5,7,11,9,18,15
"ENSG00000049246",355,634,448,419,398,665,287,387,566,451,631,813
"ENSG00000236266",3,10,3,1,3,6,1,5,5,4,15,7
"ENSG00000049247",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000049249",901,1474,1277,1258,1391,2356,563,608,834,574,993,1108
"ENSG00000270330",0,0,0,0,0,2,0,0,0,0,0,1
"ENSG00000116288",7643,13000,10513,10525,9068,16278,7632,9846,13351,10263,14749,17465
"ENSG00000200344",0,0,0,1,3,1,0,0,1,0,1,0
"ENSG00000284747",2,10,12,13,4,13,3,12,12,15,13,8
"ENSG00000284716",0,1,1,0,1,0,1,0,2,0,2,1
"ENSG00000116285",1115,1970,1443,1395,1210,2187,1582,1909,1963,1592,2073,2372
"ENSG00000238290",0,0,1,0,0,1,0,0,0,2,0,2
"ENSG00000232848",945,1588,1200,1189,996,1823,919,1208,1666,1294,1635,2140
"ENSG00000229305",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227634",0,0,0,0,0,1,1,0,1,0,0,0
"ENSG00000200975",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233645",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251977",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162426",63,108,58,75,90,115,51,73,108,60,141,201
"ENSG00000252254",0,0,1,0,0,0,0,0,0,0,2,0
"ENSG00000142599",2581,4044,3371,3237,3037,5336,2725,3310,4676,3284,4874,5572
"ENSG00000232912",0,1,2,1,1,6,1,0,3,1,0,0
"ENSG00000221083",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270282",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234619",367,683,525,540,466,818,290,468,524,403,611,711
"ENSG00000224315",19,21,29,16,13,25,13,10,26,18,23,23
"ENSG00000222511",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226545",0,0,3,0,0,0,0,1,0,0,0,0
"ENSG00000228423",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229716",1,0,0,0,0,1,0,0,2,3,0,0
"ENSG00000074800",86111,147015,111019,113922,95686,162371,91973,116579,147478,114564,151059,188354
"ENSG00000274258",0,0,0,0,1,1,0,3,2,0,0,0
"ENSG00000230679",1,3,2,4,3,2,1,1,1,6,2,3
"ENSG00000201725",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238249",820,1416,1214,1158,1142,2027,1053,1465,2105,1619,2086,2647
"ENSG00000232208",35,34,49,42,25,48,38,44,67,49,62,61
"ENSG00000232663",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131686",1,0,0,0,1,1,0,0,0,0,0,1
"ENSG00000265141",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197241",0,2,0,0,0,0,0,0,0,0,1,0
"ENSG00000142583",0,2,0,2,0,4,0,1,2,2,1,3
"ENSG00000252404",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180758",206,319,221,244,292,526,188,304,431,269,432,480
"ENSG00000228526",25,19,14,25,25,61,21,34,70,45,105,112
"ENSG00000284357",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234546",7,12,16,14,26,36,41,30,61,34,92,111
"ENSG00000049239",831,1370,1087,1113,1354,2207,1188,1609,2468,1652,3294,3990
"ENSG00000171621",528,838,735,738,740,1175,525,721,895,760,1029,1397
"ENSG00000284652",0,0,5,3,5,4,0,2,5,3,8,9
"ENSG00000284693",23,39,32,40,38,60,17,28,17,21,48,73
"ENSG00000252956",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235263",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171612",693,1227,978,964,1005,1469,628,818,1104,855,1035,1325
"ENSG00000231181",214,395,290,314,269,418,174,213,269,245,331,467
"ENSG00000188807",2059,3416,2988,3023,2786,4716,2144,3086,3708,2590,4133,4924
"ENSG00000171608",3239,5476,4169,4214,4012,6903,2898,3679,5224,3718,6350,7382
"ENSG00000179840",0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000233268",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000231789",25,35,28,31,26,58,35,33,64,53,80,117
"ENSG00000171603",7584,12570,10015,9756,11122,19262,8405,11106,15520,10814,18726,22103
"ENSG00000271264",0,0,1,0,0,0,0,1,0,1,0,0
"ENSG00000280113",2,1,0,0,0,2,0,0,0,1,0,0
"ENSG00000178585",532,754,738,650,652,1091,583,709,1082,821,1406,1743
